,Country Name,Country Code,Value
2973,Kyrgyzstan,KGZ,1458.376256
2991,Malawi,MWI,2138.171434
3009,Malta,MLT,1814.9952329999999
3027,Mauritius,MUS,1616.860852
3045,Monaco,MCO,115.73912240000001
3063,Namibia,NAM,2268.656799
3081,Netherlands,NLD,94172.05782
3099,Nigeria,NGA,42204.00973
3117,Pakistan,PAK,31632.575210000003
3135,Palau,PLW,38.62981488
3153,Qatar,QAT,8852.911198
3171,Rwanda,RWA,1640.461915
3189,Sierra Leone,SLE,1551.958875
3207,Slovenia,SVN,6116.2747420000005
3225,Togo,TGO,808.8572919
3243,Turkmenistan,TKM,7195.4378959999995
3261,Uzbekistan,UZB,14291.88892
3279,Vanuatu,VUT,30.50600953
3280,South Sudan,SSD,2210.399454
