,NOC,Name,Year,Sport,Medal
3,DEN,Edgar Lindenau Aabye,1900,Tug-Of-War,Gold
37,FIN,Arvo Ossian Aaltonen,1920,Swimming,Bronze
38,FIN,Arvo Ossian Aaltonen,1920,Swimming,Bronze
40,FIN,Juhamatti Tapio Aaltonen,2014,Ice Hockey,Bronze
41,FIN,Paavo Johannes Aaltonen,1948,Gymnastics,Bronze
42,FIN,Paavo Johannes Aaltonen,1948,Gymnastics,Gold
44,FIN,Paavo Johannes Aaltonen,1948,Gymnastics,Gold
48,FIN,Paavo Johannes Aaltonen,1948,Gymnastics,Gold
50,FIN,Paavo Johannes Aaltonen,1952,Gymnastics,Bronze
60,NOR,Kjetil Andr Aamodt,1992,Alpine Skiing,Gold
61,NOR,Kjetil Andr Aamodt,1992,Alpine Skiing,Bronze
63,NOR,Kjetil Andr Aamodt,1994,Alpine Skiing,Silver
64,NOR,Kjetil Andr Aamodt,1994,Alpine Skiing,Bronze
67,NOR,Kjetil Andr Aamodt,1994,Alpine Skiing,Silver
73,NOR,Kjetil Andr Aamodt,2002,Alpine Skiing,Gold
76,NOR,Kjetil Andr Aamodt,2002,Alpine Skiing,Gold
78,NOR,Kjetil Andr Aamodt,2006,Alpine Skiing,Gold
79,NOR,Ragnhild Margrethe Aamodt,2008,Handball,Gold
86,NOR,Alf Lied Aanning,1920,Gymnastics,Silver
91,NED,Willemien Aardenburg,1988,Hockey,Bronze
92,NED,Pepijn Aardewijn,1996,Rowing,Silver
105,NOR,Ann Kristin Aarnes,1996,Football,Bronze
106,NOR,Karl Jan Aas,1920,Gymnastics,Silver
110,NOR,Roald Edgar Aas,1952,Speed Skating,Bronze
113,NOR,Roald Edgar Aas,1960,Speed Skating,Gold
117,NOR,Thomas Valentin Aas,1912,Sailing,Gold
150,FRA,Ren Abadie,1956,Cycling,Gold
158,ITA,Giovanni Abagnale,2016,Rowing,Bronze
159,ESP,Jos Luis Abajo Gmez,2008,Fencing,Bronze
161,AZE,Patimat Abakarova,2016,Taekwondo,Bronze
163,RUS,Mariya Vasilyevna Abakumova (-Tarabina),2008,Athletics,Silver
172,BLR,Aleksey Aleksandrovich Abalmasov,2008,Canoeing,Gold
173,FRA,Luc Abalo,2008,Handball,Gold
174,FRA,Luc Abalo,2012,Handball,Gold
175,FRA,Luc Abalo,2016,Handball,Silver
178,CMR,Jouan Patrice Abanda Etong,2000,Football,Gold
182,ESP,Jos Mara Abarca Plotas,1996,Water Polo,Gold
186,USA,Stephen Anthony Abas,2004,Wrestling,Silver
188,ESP,Alejandro Abascal Garca,1980,Sailing,Gold
191,ESP,Jos Manuel Abascal Gmez,1984,Athletics,Bronze
195,RUS,Tamila Rashidovna Abasova,2004,Cycling,Silver
200,FRA,Jol Marc Abati,2008,Handball,Gold
208,HUN,Pter Abay,1992,Fencing,Silver
210,HUN,Oszkr Abay-Nemes,1936,Swimming,Bronze
214,ITA,Silvano Abba,1936,Modern Pentathlon,Bronze
218,ITA,Agostino Abbagnale,1988,Rowing,Gold
219,ITA,Agostino Abbagnale,1996,Rowing,Gold
220,ITA,Agostino Abbagnale,2000,Rowing,Gold
221,ITA,Carmine Abbagnale,1984,Rowing,Gold
222,ITA,Carmine Abbagnale,1988,Rowing,Gold
223,ITA,Carmine Abbagnale,1992,Rowing,Silver
226,ITA,Giuseppe Abbagnale,1984,Rowing,Gold
227,ITA,Giuseppe Abbagnale,1988,Rowing,Gold
228,ITA,Giuseppe Abbagnale,1992,Rowing,Silver
268,GRE,"George ""Ioannis"" Abbot",1906,Football,Bronze
274,AUS,"Desmond ""Des"" Abbott",2008,Hockey,Bronze
278,USA,Jeremy Abbott,2014,Figure Skating,Bronze
283,USA,Margaret Ives Abbott (-Dunne),1900,Golf,Gold
286,USA,Monica Cecilia Abbott,2008,Softball,Silver
311,USA,Nia Nicole Abdallah,2004,Taekwondo,Silver
450,IRI,Saeid Morad Abdevali,2016,Wrestling,Bronze
476,CAN,Reema Abdo,1984,Swimming,Bronze
524,PAK,Lala Abdul Rashid,1960,Hockey,Gold
525,PAK,Muhammad Abdul Rashid,1964,Hockey,Silver
550,URS,Zagalav Abdulbekovich Abdulbekov,1972,Wrestling,Gold
587,UZB,Mukhammad Kadyr Abdullayev,2000,Boxing,Gold
590,AZE,Namiq Yadulla Abdullayev,1996,Wrestling,Silver
591,AZE,Namiq Yadulla Abdullayev,2000,Wrestling,Gold
609,USA,Julius Shareef Abdur-Rahim,2000,Basketball,Gold
617,TJK,Yusup Abdusalomov,2008,Wrestling,Silver
620,EUN,Andrey Khakimovich Abduvaliyev,1992,Athletics,Gold
636,JPN,Masashi Abe,1994,Nordic Combined,Gold
655,ETH,Addis Abebe,1992,Athletics,Bronze
663,SUI,"Max ""Xam"" Abegglen",1924,Football,Silver
672,USA,Clarence John Abel,1924,Ice Hockey,Silver
673,CAN,George Gordon Abel,1952,Ice Hockey,Gold
677,GDR,Irene Abel,1972,Gymnastics,Silver
684,CAN,Jennifer Abel,2012,Diving,Bronze
700,NOR,Egil Sten Abel,1920,Sailing,Silver
702,ESP,Abelardo Fernndez Antua,1992,Football,Gold
710,USA,"Louis Grenville ""Lou"" Abell",1900,Rowing,Gold
711,USA,"Louis Grenville ""Lou"" Abell",1904,Rowing,Gold
720,ETH,Gezahgne Abera,2000,Athletics,Gold
727,SWE,Nils Georg berg,1912,Athletics,Bronze
728,SWE,Nils Georg berg,1912,Athletics,Silver
739,USA,Michael Brent Abernathy,2000,Baseball,Gold
740,RSA,Moira Abernethy (-Ford),1956,Swimming,Bronze
747,TUR,Elvan Abeylegesse,2008,Athletics,Silver
771,BUL,Ismail Abilov (-Nizamolu),1980,Wrestling,Gold
787,USA,"Edgar Allen ""Ed"" Ablowich",1932,Athletics,Gold
789,RUS,Denis Mikhaylovich Ablyazin,2012,Gymnastics,Bronze
790,RUS,Denis Mikhaylovich Ablyazin,2012,Gymnastics,Silver
794,RUS,Denis Mikhaylovich Ablyazin,2016,Gymnastics,Silver
796,RUS,Denis Mikhaylovich Ablyazin,2016,Gymnastics,Silver
797,RUS,Denis Mikhaylovich Ablyazin,2016,Gymnastics,Bronze
803,URS,Viktor Andreyevich Aboimov,1972,Swimming,Silver
804,URS,Viktor Andreyevich Aboimov,1972,Swimming,Bronze
814,AUS,"Matthew ""Matt"" Abood",2016,Swimming,Bronze
861,EGY,Alaaeldin Ahmad El-Sayyid Abouelkassem,2012,Fencing,Silver
884,HUN,Attila brahm,1988,Canoeing,Bronze
885,HUN,Attila brahm,1988,Canoeing,Gold
886,HUN,Attila brahm,1992,Canoeing,Silver
892,GBR,Gary Abraham,1980,Swimming,Bronze
903,SWE,Ara Abrahamian,2004,Wrestling,Silver
915,GBR,Harold Maurice Abrahams,1924,Athletics,Gold
917,GBR,Harold Maurice Abrahams,1924,Athletics,Silver
921,NOR,Isak Abrahamsen,1912,Gymnastics,Gold
929,SWE,Erik Adolf Efraim Abrahamsson,1920,Athletics,Bronze
935,SWE,Karl Gustaf Emanuel Abrahamsson,1928,Ice Hockey,Silver
966,RUS,Pavel Sergeyevich Abramov,2004,Volleyball,Bronze
971,URS,Nelli Mikhaylovna Abramova,1964,Volleyball,Silver
974,RUS,Yekaterina Konstantinovna Abramova,2006,Speed Skating,Bronze
1029,ESP,"Alejandro ""lex"" Abrines Redondo",2016,Basketball,Bronze
1035,RUS,Svetlana Olegovna Abrosimova,2008,Basketball,Bronze
1043,URS,Saypulla Atavovich Absaidov,1980,Wrestling,Gold
1044,FRA,Julien Absalon,2004,Cycling,Gold
1045,FRA,Julien Absalon,2008,Cycling,Gold
1080,JOR,Ahmad Abughaush,2016,Taekwondo,Gold
1089,JPN,Ginko Abukawa-Chiba,1964,Gymnastics,Bronze
1105,URS,Aleksandr Veniaminovich Abushakhmetov,1980,Fencing,Bronze
1106,URS,Magomedgasan Mingazhutdinovich Abushev,1980,Wrestling,Gold
1121,ROU,Andreea Roxana Acatrinei,2008,Gymnastics,Bronze
1126,FRA,William Accambray,2012,Handball,Gold
1133,SUI,Paul Accola,1988,Alpine Skiing,Bronze
1154,ESP,Domingo Gmez-Acedo Villanueva,1920,Football,Silver
1162,PUR,Anibl Santiago Acevedo,1992,Boxing,Bronze
1173,MEX,Daniel Aceves Villagrn,1984,Wrestling,Silver
1191,GHA,Joachim Yaw Acheampong,1992,Football,Bronze
1192,SUI,Alfred Achermann,1984,Cycling,Silver
1196,MAR,Abdel Hak Achik,1988,Boxing,Bronze
1198,MAR,Mohamed Abdelhak Achik,1992,Boxing,Bronze
1210,URS,Rita Nikolayevna Achkina,1968,Cross Country Skiing,Bronze
1227,NED,Chantal Achterberg,2012,Rowing,Bronze
1228,NED,Chantal Achterberg,2016,Rowing,Silver
1237,SWE,Fausto Alesio Acke (Padovini-),1920,Gymnastics,Gold
1238,NZL,Paul Douglas Ackerley,1976,Hockey,Gold
1239,USA,"Charles Edwin ""Charley"" Ackerly",1920,Wrestling,Gold
1244,GER,Ronny Ackermann,2002,Nordic Combined,Silver
1246,GER,Ronny Ackermann,2002,Nordic Combined,Silver
1247,GER,Ronny Ackermann,2006,Nordic Combined,Silver
1254,SUI,Donat Acklin,1992,Bobsleigh,Gold
1255,SUI,Donat Acklin,1992,Bobsleigh,Bronze
1256,SUI,Donat Acklin,1994,Bobsleigh,Gold
1257,SUI,Donat Acklin,1994,Bobsleigh,Silver
1258,SUI,Guido Acklin,1994,Bobsleigh,Silver
1276,ARG,Lautaro Germn Acosta,2008,Football,Gold
1288,CUB,Osmay Acosta Duarte,2008,Boxing,Bronze
1293,URU,Martn Ral Acosta y Lara Daz,1952,Basketball,Bronze
1325,POL,Kazimierz Piotr Adach,1980,Boxing,Bronze
1345,USA,"Gordon Belgum ""Gordy"" Adam",1936,Rowing,Gold
1352,TCH,Ji Adam,1976,Modern Pentathlon,Silver
1366,CAN,"Michael B. ""Mike"" Adam",2006,Curling,Gold
1373,GER,Otto Adam,1936,Fencing,Bronze
1375,FRA,Pierre Louis Eugne Adam,1948,Cycling,Gold
1388,POL,Dariusz Adamczuk,1992,Football,Silver
1450,USA,"Benjamin Willard ""Ben"" Adams",1912,Athletics,Silver
1451,USA,"Benjamin Willard ""Ben"" Adams",1912,Athletics,Bronze
1462,USA,Edgar Holmes Adams,1904,Swimming,Silver
1472,USA,Harry Lester Adams,1912,Shooting,Gold
1490,GBR,Adrian Neil Adams,1980,Judo,Silver
1491,GBR,Adrian Neil Adams,1984,Judo,Silver
1494,GBR,Nicola Virginia Adams,2012,Boxing,Gold
1495,GBR,Nicola Virginia Adams,2016,Boxing,Gold
1511,USA,Platt Adams,1912,Athletics,Gold
1512,USA,Platt Adams,1912,Athletics,Silver
1514,USA,Rachael Alexis Adams,2016,Volleyball,Bronze
1519,GBR,"Victoria ""Vicki"" Adams",2014,Curling,Bronze
1527,NZL,Valerie Kasanita Adams-Vili (-Price),2008,Athletics,Gold
1528,NZL,Valerie Kasanita Adams-Vili (-Price),2012,Athletics,Gold
1529,NZL,Valerie Kasanita Adams-Vili (-Price),2016,Athletics,Silver
1533,GER,Filip Kamil Adamski,2012,Rowing,Gold
1534,GER,Herbert Adamski,1936,Rowing,Gold
1535,POL,Jerzy Adamski,1960,Boxing,Silver
1579,GHA,Simon Addo,1992,Football,Bronze
1583,SUI,Eugene Addor,1920,Shooting,Bronze
1617,NGR,Olubayo Adefemi,2008,Football,Silver
1637,NGR,"Ayodele ""Dele"" Adeleye",2008,Football,Silver
1651,BRA,Ademir Roque Kaefer,1984,Football,Silver
1652,BRA,Ademir Roque Kaefer,1988,Football,Silver
1665,NGR,Olapade Charles Adeniken,1992,Athletics,Silver
1668,BRA,Adenzia Aparecida Ferreira da Silva,2012,Volleyball,Gold
1712,FRA,Franck Adisson,1992,Canoeing,Bronze
1713,FRA,Franck Adisson,1996,Canoeing,Gold
1720,GER,"Richard ""Richy""  Adjei",2010,Bobsleigh,Silver
1722,GHA,Sammi Adjei,1992,Football,Bronze
1727,USA,"Charles ""Chuck"" Adkins",1952,Boxing,Gold
1728,USA,Derrick Ralph Adkins,1996,Athletics,Gold
1729,GBR,"Robert Edward ""Bob"" Adlard",1948,Hockey,Silver
1733,BRA,Daniel Adler,1984,Sailing,Silver
1737,GER,Egon Adler,1960,Cycling,Silver
1739,AUT,"Margarete ""Grete"" Adler",1912,Swimming,Bronze
1752,SWE,Gregor Nils Henric Adlercreutz,1936,Equestrianism,Bronze
1755,SWE,Nils August Domingo Adlercreutz,1912,Equestrianism,Gold
1756,SWE,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),1908,Tennis,Bronze
1762,SWE,Erik William Adlerz,1912,Diving,Gold
1763,SWE,Erik William Adlerz,1912,Diving,Gold
1764,SWE,Erik William Adlerz,1920,Diving,Silver
1772,GBR,"Rebecca ""Becky"" Adlington",2008,Swimming,Gold
1773,GBR,"Rebecca ""Becky"" Adlington",2008,Swimming,Gold
1774,GBR,"Rebecca ""Becky"" Adlington",2012,Swimming,Bronze
1775,GBR,"Rebecca ""Becky"" Adlington",2012,Swimming,Bronze
1807,LTU,Dainius Adomaitis,2000,Basketball,Bronze
1843,USA,Nathan Ghar-Jun Adrian,2008,Swimming,Gold
1844,USA,Nathan Ghar-Jun Adrian,2012,Swimming,Gold
1845,USA,Nathan Ghar-Jun Adrian,2012,Swimming,Silver
1846,USA,Nathan Ghar-Jun Adrian,2012,Swimming,Gold
1847,USA,Nathan Ghar-Jun Adrian,2016,Swimming,Bronze
1848,USA,Nathan Ghar-Jun Adrian,2016,Swimming,Bronze
1849,USA,Nathan Ghar-Jun Adrian,2016,Swimming,Gold
1850,USA,Nathan Ghar-Jun Adrian,2016,Swimming,Gold
1856,BRA,Adriana Aparecida dos Santos,1996,Basketball,Silver
1857,BRA,Adriana Aparecida dos Santos,2000,Basketball,Bronze
1863,BRA,"Adriana ""Adrianinha"" Moiss Pinto",2000,Basketball,Bronze
1872,HUN,Attila Adrovicz,1996,Canoeing,Silver
1899,GER,Klaus Aeffke,1964,Rowing,Silver
1942,RUS,Kseniya Dmitriyevna Afanasyeva,2012,Gymnastics,Silver
1962,RUS,Maksim Sergeyevich Afinogenov,2002,Ice Hockey,Bronze
1968,NGR,"Olabisi ""Bisi"" Afolabi",1996,Athletics,Silver
1976,ROU,Felicia Afrsiloaie (-Jitianu),1976,Rowing,Bronze
1977,RSA,Cecil Sebastian Afrika,2016,Rugby Sevens,Bronze
1997,PAK,Muhammad Afzal Manna,1964,Hockey,Silver
2002,RSA,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",2016,Rugby Sevens,Bronze
2005,ROU,Lavinia Agache (-Carney),1984,Gymnastics,Gold
2007,ROU,Lavinia Agache (-Carney),1984,Gymnastics,Bronze
2016,ITA,Luca Agamennoni,2004,Rowing,Bronze
2017,ITA,Luca Agamennoni,2008,Rowing,Silver
2031,USA,Andre Kirk Agassi,1996,Tennis,Gold
2044,FRA,Clarisse Agbegnenou,2016,Judo,Silver
2062,NOR,Henrik Agersborg,1920,Sailing,Bronze
2065,URS,Viktor Ivanovich Ageyev,1956,Water Polo,Bronze
2066,URS,Viktor Ivanovich Ageyev,1960,Water Polo,Silver
2067,URS,Viktor Ivanovich Ageyev,1964,Water Polo,Bronze
2099,NED,Marilyn Agliotti,2008,Hockey,Gold
2100,NED,Marilyn Agliotti,2012,Hockey,Gold
2110,FRA,Yannick Agnel,2012,Swimming,Gold
2111,FRA,Yannick Agnel,2012,Swimming,Gold
2112,FRA,Yannick Agnel,2012,Swimming,Silver
2126,CAN,Meghan Christina Agosta (-Marciano),2006,Ice Hockey,Gold
2127,CAN,Meghan Christina Agosta (-Marciano),2010,Ice Hockey,Gold
2128,CAN,Meghan Christina Agosta (-Marciano),2014,Ice Hockey,Gold
2138,USA,"Benjamin Alexandro ""Ben"" Agosto",2006,Figure Skating,Silver
2143,HUN,Judit goston-Mendelnyi,1964,Fencing,Gold
2144,ITA,Carlo Agostoni Faini,1928,Fencing,Gold
2145,ITA,Carlo Agostoni Faini,1932,Fencing,Bronze
2146,ITA,Carlo Agostoni Faini,1932,Fencing,Silver
2148,ITA,Carlo Agostoni Faini,1948,Fencing,Silver
2159,SWE,Erik Alfred gren,1936,Boxing,Bronze
2170,GRE,Ioannis Agrimis,1906,Rowing,Gold
2173,NED,"Estella ""Stella"" Agsteribbe (-Blits)",1928,Gymnastics,Gold
2183,ARG,Sergio Leonel Agero del Castillo,2008,Football,Gold
2184,CUB,"Taismary ""Tai"" Agero Leiva (-Botteghi)",2000,Volleyball,Gold
2256,CUB,Jos Aguilar Pulsn,1980,Boxing,Bronze
2263,ESP,Macarena Aguilar Daz,2012,Handball,Bronze
2280,ESP,Sandra Aguilar Navarro,2016,Rhythmic Gymnastics,Silver
2288,CUB,Jorge Luis Aguilera Ruiz,1992,Athletics,Bronze
2331,INA,Sri Wahyuni Agustiani,2016,Weightlifting,Silver
2352,USA,Robyn Mokihana Ah Mow-Santos,2008,Volleyball,Silver
2363,USA,Kevin Joseph Ahearn,1972,Ice Hockey,Silver
2367,GBR,"Timothy Joseph ""Tim"" Ahearne",1908,Athletics,Gold
2386,FIN,Bruno Valfrid Ahlberg,1932,Boxing,Bronze
2391,SWE,Mats Bertil hlberg,1980,Ice Hockey,Bronze
2396,SWE,Annica Gunilla hln,2002,Ice Hockey,Bronze
2397,SWE,Johan Petter hln (Andersson-),1924,Curling,Silver
2398,SWE,Thomas Valter hln,1984,Ice Hockey,Bronze
2403,FIN,Anselm Ahlfors,1924,Wrestling,Silver
2406,SWE,Anders Oscar Ahlgren,1912,Wrestling,Silver
2410,USA,George Lewis Ahlgren,1948,Rowing,Gold
2423,GER,Christian Ahlmann,2004,Equestrianism,Bronze
2429,GER,Christian Ahlmann,2016,Equestrianism,Bronze
2433,SWE,Thure Johan Ahlqvist,1932,Boxing,Silver
2438,SWE,"Sten Olov ""Olle"" hlund",1952,Football,Bronze
2453,INA,Tontowi Ahmad,2016,Badminton,Gold
2462,SWE,Arne Per hman,1948,Athletics,Gold
2465,GER,Jrg Ahmann,2000,Beach Volleyball,Bronze
2466,USA,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",1992,Swimming,Gold
2467,USA,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",1992,Swimming,Silver
2468,USA,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",1992,Swimming,Gold
2475,PAK,Muhammad Akhlaq Ahmed,1992,Hockey,Bronze
2478,PAK,Muhammad Ashfaq Ahmed,1968,Hockey,Gold
2480,PAK,Bashir Ahmed,1960,Hockey,Gold
2489,PAK,Ishtiaq Ahmed,1984,Hockey,Gold
2493,PAK,Manzoor Ahmed,1992,Hockey,Bronze
2502,PAK,Mushtaq Ahmed,1984,Hockey,Gold
2503,PAK,Mushtaq Ahmed,1960,Hockey,Gold
2506,PAK,Riaz Ahmed,1968,Hockey,Gold
2507,PAK,Riaz Ahmed,1972,Hockey,Silver
2511,PAK,Shahbaz Ahmed,1992,Hockey,Bronze
2532,FIN,Arthur Ahnger,1912,Sailing,Bronze
2557,FIN,Janne Petteri Ahonen,2002,Ski Jumping,Silver
2560,FIN,Janne Petteri Ahonen,2006,Ski Jumping,Silver
2576,GER,Peter Ahrendt,1964,Sailing,Silver
2577,GDR,Brigitte Ahrenholz,1976,Rowing,Gold
2579,USA,"Christian ""Chris"" Ahrens",2004,Rowing,Gold
2584,CHI,Marlene Ahrens Ostertag (-Ebensperger),1956,Athletics,Silver
2587,GER,Thomas Ahrens,1964,Rowing,Silver
2615,ITA,Matteo Aicardi,2012,Water Polo,Silver
2616,ITA,Matteo Aicardi,2016,Water Polo,Bronze
2618,ARG,Mara Magdalena Aicega Amicarelli,2000,Hockey,Silver
2619,ARG,Mara Magdalena Aicega Amicarelli,2004,Hockey,Bronze
2620,ARG,Mara Magdalena Aicega Amicarelli,2008,Hockey,Bronze
2622,SUI,Hans Aichele,1936,Bobsleigh,Silver
2635,ITA,Rosaria Aiello,2016,Water Polo,Silver
2637,AUT,Franz Aigner,1924,Weightlifting,Silver
2638,GER,Hannes Aigner,2012,Canoeing,Bronze
2645,JPN,Nobuyuki Aihara,1956,Gymnastics,Silver
2646,JPN,Nobuyuki Aihara,1956,Gymnastics,Silver
2653,JPN,Nobuyuki Aihara,1960,Gymnastics,Gold
2654,JPN,Nobuyuki Aihara,1960,Gymnastics,Gold
2663,JPN,Yutaka Aihara,1992,Gymnastics,Bronze
2672,JPN,Ryoji Aikawa,2004,Baseball,Bronze
2674,AUS,Alexander Michael Hirst Aikman,1956,Rowing,Bronze
2688,GBR,"Charles Benedict ""Ben"" Ainslie",1996,Sailing,Silver
2689,GBR,"Charles Benedict ""Ben"" Ainslie",2000,Sailing,Gold
2690,GBR,"Charles Benedict ""Ben"" Ainslie",2004,Sailing,Gold
2691,GBR,"Charles Benedict ""Ben"" Ainslie",2008,Sailing,Gold
2692,GBR,"Charles Benedict ""Ben"" Ainslie",2012,Sailing,Gold
2696,USA,Kurt Harold Ainsworth,2000,Baseball,Gold
2700,GBR,John Creyghton Ainsworth-Davis,1920,Athletics,Gold
2715,GBR,Robin Allingham Aisher,1968,Sailing,Bronze
2748,CAN,"Gordon ""Gord"" Aitchison",1936,Basketball,Silver
2749,GBR,Frances Helen Aitchison (-Leisk),1912,Tennis,Silver
2753,AUS,Brett Aitken,1992,Cycling,Silver
2754,AUS,Brett Aitken,1996,Cycling,Bronze
2756,AUS,Brett Aitken,2000,Cycling,Gold
2761,FRA,Vladimir Atoff,1900,Rugby,Gold
2772,UKR,Artur Surenovych Aivazian,2008,Shooting,Gold
2787,GRE,Eirini Andili,2000,Rhythmic Gymnastics,Bronze
2795,NGR,"Oluwafemi ""Junior"" Ajayi",2016,Football,Bronze
2798,CUB,Omar Ajete Iglesias,1992,Baseball,Gold
2799,CUB,Omar Ajete Iglesias,1996,Baseball,Gold
2800,CUB,Omar Ajete Iglesias,2000,Baseball,Silver
2802,NGR,"Ebenezer Oluwafemi ""Femi"" Ajilore",2008,Football,Silver
2810,CAN,Mobolade Abimbola Ajomale,2016,Athletics,Bronze
2815,NGR,Chioma Ajunwa (-Opara),1996,Athletics,Gold
2826,GBR,Kriss Kezie Uche Chukwu Duru Akabusi,1984,Athletics,Silver
2829,GBR,Kriss Kezie Uche Chukwu Duru Akabusi,1992,Athletics,Bronze
2830,GBR,Kriss Kezie Uche Chukwu Duru Akabusi,1992,Athletics,Bronze
2838,JPN,Kosei Akaishi,1984,Wrestling,Silver
2840,JPN,Kosei Akaishi,1992,Wrestling,Bronze
2846,TUR,Nasuh Akar,1948,Wrestling,Gold
2848,JPN,Yuichi Akasaka,1992,Short Track Speed Skating,Bronze
2869,TUR,Hseyin Akba,1956,Wrestling,Bronze
2871,TUR,Hseyin Akba,1964,Wrestling,Silver
2880,TUR,Vehbi Akda,1972,Wrestling,Silver
2904,SWE,Ernst Gunnar kerlund,1948,Canoeing,Gold
2905,SWE,Ernst Gunnar kerlund,1952,Canoeing,Silver
2906,SWE,Olle Erik Curys kerlund,1932,Sailing,Gold
2911,USA,Michelle Anne Akers,1996,Football,Gold
2926,TUR,Taha Akgl,2016,Wrestling,Gold
2929,URS,Yelena Rabigovna Akhaminova (-Sokolovskaya),1980,Volleyball,Gold
2934,RUS,Albina Khamitovna Akhatova,1998,Biathlon,Silver
2936,RUS,Albina Khamitovna Akhatova,2002,Biathlon,Bronze
2938,RUS,Albina Khamitovna Akhatova,2006,Biathlon,Bronze
2940,RUS,Albina Khamitovna Akhatova,2006,Biathlon,Bronze
2941,RUS,Albina Khamitovna Akhatova,2006,Biathlon,Gold
2955,UZB,Murodzhon Kakharovich Akhmadaliyev,2016,Boxing,Bronze
2961,RUS,Artur Kamilevich Akhmatkhuzin,2016,Fencing,Gold
2962,RUS,Bakhtiyar Shakhabutdinovich Akhmedov,2008,Wrestling,Silver
2965,BUL,Lyutvi Dzhiber Akhmedov,1964,Wrestling,Silver
2968,URS,Leyla Begnyazovna Akhmerova,1980,Hockey,Bronze
2978,URS,Igor Vladimirovich Akhremchik,1960,Rowing,Bronze
2984,PAK,Gulraiz Akhtar,1968,Hockey,Gold
2988,PAK,Naeem Akhtar,1984,Hockey,Gold
3005,UGA,John Akii-Bua,1972,Athletics,Gold
3011,URS,Anatoly Ivanovich Akimov,1972,Water Polo,Gold
3013,URS,Vladimir Ivanovich Akimov,1980,Water Polo,Gold
3020,USA,Morolake Akinosun,2016,Athletics,Gold
3021,USA,Foluke Antinuke Akinradewo,2012,Volleyball,Silver
3022,USA,Foluke Antinuke Akinradewo,2016,Volleyball,Bronze
3045,RUS,Khadzhimurat Magomedovich Akkayev,2004,Weightlifting,Silver
3046,RUS,Khadzhimurat Magomedovich Akkayev,2008,Weightlifting,Bronze
3048,RUS,Marina Dazmirovna Akobiya,2000,Water Polo,Bronze
3067,EUN,Artur Vladimirovich Akoyev,1992,Weightlifting,Silver
3070,NGR,Daniel Akpeyi,2016,Football,Bronze
3095,USA,Monica Aksamit,2016,Fencing,Bronze
3101,URS,Liudmyla Vasylivna Aksenova (Shapovalova-),1976,Athletics,Bronze
3104,URS,Aleksandr Timofeyevich Aksinin,1976,Athletics,Bronze
3106,URS,Aleksandr Timofeyevich Aksinin,1980,Athletics,Gold
3117,RUS,Nikolay Aleksandrovich Aksyonov,1996,Rowing,Bronze
3126,URS,Irina Anatolyevna Aksyonova,1980,Swimming,Bronze
3144,URS,Vladyslav Ivanovych Akymenko,1976,Sailing,Silver
3148,SYR,Naser Al Shami,2004,Boxing,Bronze
3223,QAT,Nasser Salih Nasser Abdullah Al-Attiya,2012,Shooting,Bronze
3302,KUW,Fehaid Al-Deehani,2000,Shooting,Bronze
3304,KUW,Fehaid Al-Deehani,2012,Shooting,Bronze
3306,IOA,Fehaid Al-Deehani,2016,Shooting,Gold
3354,KSA,Ramzy Al-Duhami,2012,Equestrianism,Bronze
3360,KSA,Khaled Al-Eid,2000,Equestrianism,Bronze
3437,PAK,Abdul Rashid Al-Hasan,1984,Hockey,Gold
3542,UAE,Ahmed bin Hasher Al-Maktoum,2004,Shooting,Gold
3680,IOA,Abdullah Al-Rashidi,2016,Shooting,Bronze
3721,KSA,Prince Abdullah Bin Moteb Al-Saud,2012,Equestrianism,Bronze
3772,KSA,Hadi Soua'an Al-Somaily Jaadan,2000,Athletics,Silver
3833,ESP,Marina Alabau Neira,2012,Sailing,Gold
3836,URS,Armenak Alachachyan,1964,Basketball,Silver
3859,URS,Arsen Shakhlamazovich Alakhverdiyev,1972,Wrestling,Silver
3870,PAK,Noor Alam,1956,Hockey,Silver
3871,PAK,Noor Alam,1960,Hockey,Gold
3911,CRO,Vladan Alanovi,1992,Basketball,Silver
3937,FIN,Mika Antero Alatalo,1994,Ice Hockey,Bronze
3940,FIN,Toimi Johannes Alatalo,1960,Cross Country Skiing,Gold
3965,ITA,Fabio Albarelli,1968,Sailing,Bronze
3969,ITA,Marco Albarello,1992,Cross Country Skiing,Silver
3972,ITA,Marco Albarello,1992,Cross Country Skiing,Silver
3973,ITA,Marco Albarello,1994,Cross Country Skiing,Bronze
3975,ITA,Marco Albarello,1994,Cross Country Skiing,Gold
3978,ITA,Marco Albarello,1998,Cross Country Skiing,Silver
3995,FRA,Pierre Henri Maurice Albarran,1920,Tennis,Bronze
4001,RUS,Ruslan Vladimirovich Albegov,2012,Weightlifting,Bronze
4002,ESP,David Albelda Aliqus,2000,Football,Silver
4007,FRG,Reinhard Alber,1984,Cycling,Bronze
4011,ITA,Alberto Alberani Samaritani,1976,Water Polo,Silver
4015,FRA,A. Albert,1900,Rugby,Gold
4017,FRA,Auguste Albert,1900,Sailing,Silver
4018,FRA,Auguste Albert,1900,Sailing,Bronze
4025,HUN,Flrin Albert,1960,Football,Bronze
